Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Notes
!K7R021CD,Shantel,Higher Than The Funk,Studio !K7,"CD, Album",5,1998,125825,NO RAP,2016-05-08 15:13:33,
!K7202CD,Matthew Herbert,Scale,"Studio !K7, Accidental","CD, Album",5,2006,639405,NO RAP,2017-11-20 03:11:50,
!K7073CD,Kruder & Dorfmeister,The K&D Sessions™,"Studio !K7, G-Stone Recordings","2xCD, Comp, Mixed, RP, Dig",5,0,3736238,NO RAP,2013-09-22 07:09:33,
"!k7240cd, none",Tosca,No Hassle,"Studio !K7, G-Stone Recordings","2xCD, Album, Dig",5,2009,1746379,NO RAP,2013-03-30 08:27:10,
"!K7074cd, K7074CD",Kemistry & Storm,DJ-Kicks,"Studio !K7, Studio !K7","CD, Comp, Mixed",5,1999,2800,NO RAP,2014-11-23 12:14:49,
"!K7140CD, !K7140 CD",Tosca,Dehli9,"Studio !K7, Studio !K7","2xCD, Album, Dig",5,2003,116831,NO RAP,2015-11-16 08:37:43,
SSR6003,3rd Eye (2),Planets,"Stupid Sh★t Recorz, Alpha Enterprise","CD, Album",4,1997,1725607,RAP,2013-05-28 03:40:22,
SP 224b,Pigeonhed,Pigeonhed,Sub Pop,"CD, Album",5,1993,1405046,NO RAP,2013-01-26 15:31:16,
SP960,THEESatisfaction,Awe Naturale,Sub Pop,"CD, Album",5,2012,3522769,NO RAP,2016-05-08 15:02:19,
SPCD 100/272,Pigeonhed,Theme From Pigeonhed,Sub Pop,"CD, Maxi",4,1993,792067,NO RAP,2013-05-15 03:32:56,
SPCD 505,The Rapture,Out Of The Races And Onto The Tracks,Sub Pop,"CD, Single",5,2001,239954,NO RAP,2014-08-13 11:23:10,
"SPCD 373, 98787-0373-2",Pigeonhed,The Full Sentence,"Sub Pop, Sub Pop","CD, Album",5,1997,332411,NO RAP,2014-01-24 10:45:47,
SVE-8,Drexciya,The Quest,Submerge (3),"2xCD, Comp",5,1997,1545133,NO RAP,2013-07-20 17:51:52,
NZE 109,X-Clan,Mainstream Outlawz,Suburban Noize Records,"CD, Album",4,2009,2094741,RAP,2014-04-07 15:53:08,
NZE72,X-Clan,Return From Mecca,Suburban Noize Records,"CD, Album",4,2007,896478,RAP,2016-09-07 14:15:07,
SUG-CD-3990,Nickel Creek,Why Should The Fire Die?,Sugar Hill Records (2),"CD, Album, Ltd",5,2005,1121126,NO RAP,2017-10-24 14:05:56,
10023-2,Mackadelics,Exposed To The Game,"Sunset Blvd Entertainment, Explicit Entertainment","CD, Album",4,1996,751888,RAP,2014-08-03 14:44:17,
72392 78032-2,Skee-Lo,I Wish,"Sunshine Records (27), Scotti Bros. Records","CD, Maxi",4,1995,338052,RAP,2012-10-07 12:01:23,
SUPREMAT 03,Transllusion,The Opening Of The Cerebral Gate,Supremat,"CD, Album",5,2001,55980,NO RAP,2014-12-02 14:30:42,
"SDCD1, 5016930900933",Lakim Shabazz,Pure Righteousness,"Sure Delight, Jet Star Records","CD, Album",5,1989,179503,RAP,2009-08-20 00:00:00,
"none, 005.9020.033",Big Shug,Who's Hard?,"Sure Shot Recordings, Play It Again Sam [PIAS]","CD, Album + DVD-V",5,2005,1578388,RAP,2015-08-16 12:40:08,
SS002,L-Fudge,Chronic Irresponsibilty,SureShot Entertainments,"CD, Album",5,2001,1171236,RAP,2016-02-07 09:10:07,
SURF 1101,Mudkids,4trackmind,Surf Records,"CD, Album",5,1998,1912346,RAP,2009-10-28 10:59:39,
SURF 1109,Mudkids,Upward,Surf Records,"CD, Album",4,2000,1912369,RAP,2009-10-28 10:59:52,
SOX 032 CD,Meat Beat Manifesto,Strap Down,Sweatbox,"CD, Single",5,1988,263950,NO RAP,2011-03-09 02:38:34,
WM15,Ronnie And Clyde,In Glorious Black And Blue,Swim ~,"CD, Album",4,1997,3908626,NO RAP,2012-09-28 13:59:19,
none,Aura (25),Indywidualnie,Syndykat Dźwięku,"CD, Album",5,2005,1408846,RAP,2009-08-20 00:00:00,
Szpad_Rec/027/2013,Heavy Mental (9),Heavy Mental,Szpadyzor Records,"CD, Album",5,2013,4715173,RAP,2014-03-24 17:15:27,
TE 043-01,DJ Honda & PMD,Underground Connection,"T-Entertainment, DJ Honda Recordings","CD, Album",5,2002,1755150,RAP,2015-10-04 07:33:23,
TB CD 003,Chris & Cosey,Twist,T&B Vinyl,"CD, Album",5,1995,115563,NO RAP,2014-03-21 05:07:25,
T1 CD 006,Eldo,"Opowieść O Tym, Co Tu Dzieje Się Naprawdę",T1-Teraz,"CD, Album",5,2001,703913,RAP,2009-08-20 00:00:00,
T1 SCD 001,Świntuch,On Jest Za Duży,T1-Teraz,"CD, Maxi",5,2000,1470003,RAP,2009-08-20 00:00:00,
AATZ 006,Urszula & Budka Suflera,Best Of ...,TA Music,"CD, Comp",5,1992,1609735,NO RAP,2013-01-18 08:08:40,
ADDR003,Budka Suflera,Greatest Hits,TA Music,"CD, Comp",5,1992,4036041,NO RAP,2013-01-18 08:08:15,
TBL-001,Rob Swift,Sound Event,Tableturns,"CD, Album",5,2002,455972,RAP,2012-05-19 06:55:08,
538 947-2,Incognito,No Time Like The Future,Talkin' Loud,"CD, Album",5,1999,25322,NO RAP,2013-09-22 06:35:38,
558 462-2,4 Hero,Two Pages,Talkin' Loud,"CD, Album + CD, Album, Enh",4,1998,9937,NO RAP,2012-09-28 13:51:53,
856 653-2,United Future Organization,United Future Airlines EP,Talkin' Loud,"CD, EP",5,1995,3146007,NO RAP,2013-01-05 04:34:24,
PHCR-1263,Galliano,The Plot Thickens,Talkin' Loud,"CD, Album",5,1994,69073,NO RAP,2013-04-20 11:30:43,
PHCR-17,Various,Talkin Louder,Talkin' Loud,"CD, Comp",5,1991,1289636,NO RAP,2013-05-28 03:40:22,
PHCR-3066,Roni Size / Reprazent,Replica - The Remix Album,Talkin' Loud,"CD, Comp",5,1997,71775,NO RAP,2012-09-28 14:04:39,
518 166-2,United Future Organization,United Future Organization,"Talkin' Loud, Brownswood Records","CD, Album",5,1993,13787,NO RAP,2011-01-28 14:00:25,
534 451-2,Nuyorican Soul,Nuyorican Soul,"Talkin' Loud, Giant Step Records","2xCD, Album, Ltd",5,1997,92381,NO RAP,2011-01-28 14:01:44,
534 933-2,Roni Size / Reprazent,New Forms,"Talkin' Loud, Mercury","2xCD, Album",4,1997,3637,NO RAP,2009-11-12 13:40:31,
PHCR-3075,4 Hero,Two Pages Remixed,"Talkin' Loud, Mercury Music Entertainment Co., Ltd.","CD, Album",5,1998,49587,NO RAP,2016-12-14 14:02:22,
"538 824-2, 538 824 - 2",4 Hero,Two Pages Reinterpretations,"Talkin' Loud, Talkin' Loud","CD, Album",5,1999,23136,NO RAP,2012-09-28 13:51:11,
"TLCD 21, 578 915-2",Roni Size / Reprazent,Share The Fall,"Talkin' Loud, Talkin' Loud","CD, Single",5,1997,151869,NO RAP,2012-09-28 14:07:31,
"TLCD 25, 574 849-2",Roni Size / Reprazent,Heroes,"Talkin' Loud, Talkin' Loud","CD, Single",5,1997,40362,NO RAP,2012-09-28 14:08:02,
"TLKCD 53, TLK CD 53, 851 161-2",MC Solaar,Solaar Power EP,"Talkin' Loud, Talkin' Loud, Talkin' Loud","CD, EP",5,1994,925227,RAP,2012-09-09 12:57:41,
GRGAT-0003,Sound Providers,An Instrumental With The Sound Providers,Tartown,"CD, Album",5,2010,3527346,RAP,2013-12-30 13:21:05,
5050466888624,Muse,Showbiz,"Taste Media Limited, EastWest","CD, Album, RE",5,2003,645846,NO RAP,2013-05-18 06:27:58,
PIC 6,Hector Zazou,Strong Currents,Telescopic,"CD, Album",5,2003,1258293,NO RAP,2012-09-13 14:30:26,
TCD 2840,Various,100% Pure Groove 2,Telstar,"2xCD, Comp",5,1996,934852,NO RAP,2016-09-28 06:52:41,
TCD2818,Various,100% Pure Groove,Telstar,"2xCD, Comp",5,1996,1705767,NO RAP,2017-10-23 14:24:53,
STB-CD-21,Action Bronson & DJ Statik Selektah,Well-Done,"Templar Label Group, DCide, ShowOff Records","CD, Album",,2011,3296171,RAP,2017-08-11 07:55:39,
CRL 002 CD,String Theory,Anhedonia,The Consumers Research & Development Label,CD,5,2002,74028,NO RAP,2017-01-27 09:14:37,
CABS 1 CD,Cabaret Voltaire,Nag Nag Nag,The Grey Area,"CD, Single, RE",5,1990,55864,NO RAP,2013-11-30 07:42:33,
CABS 15CD,Cabaret Voltaire,1974-76,The Grey Area,"CD, Album, RE",5,1992,197536,NO RAP,2009-08-20 00:00:00,
CC1CD,Chris Carter (2),The Space Between,The Grey Area,"CD, Album, RE, RM",5,1991,118503,NO RAP,2012-06-19 03:00:36,
KIRK2CD,Richard H. Kirk,Time High Fiction,The Grey Area,"2xCD, Album, RE",5,1994,137041,NO RAP,2017-10-23 07:37:10,
KIRK7CD,Sandoz,Digital Lifeforms (Redux),The Grey Area,"2xCD, Album, RM",5,2004,258841,NO RAP,2009-10-17 03:16:16,
GUARD 1,Orbital,Exclusive To The Guide,"The Guardian, FFRR","CD, Comp, Promo",5,1997,353040,NO RAP,2017-03-26 08:43:12,
483-371-801-2,Big Daddy Kane,Veteranz Day,The Label Records,"CD, Album, Enh",4,1998,2357208,RAP,2014-11-21 12:59:01,
NULL 002,Trent Reznor / Atticus Ross,The Girl With The Dragon Tattoo,The Null Corporation,"3xCD, Album",5,2011,3302276,NO RAP,2013-11-01 04:30:56,
7243 8 30800 2 1,Al Green,Greatest Hits,The Right Stuff,"CD, Comp, RE, RM",5,1995,673630,NO RAP,2013-07-20 17:20:04,
SJR1009CV,Kendo (3),Almost Famous,The SLAMjamz Recording Company,"CD, Album + DVD",4,2006,4540186,RAP,2015-10-04 06:44:54,
RECD04SE,DJ Rectangle,Vinyl Kombat,The Underground DJ Network,"CD, Comp, Mixed",5,2005,4355344,RAP,2014-10-27 09:40:43,
DVJEDI-005,Lewis Parker,Mixtape Volume One,The World Of Dusty Vinyl,"CD, Mixed",5,2007,1552472,RAP,2013-02-23 05:57:47,
314 517 689-2,Poppa Bear Kool Breez & Baby Wise,Now Ya Know!!!,THG Music,"CD, Album",,1993,1599820,RAP,2017-04-18 08:26:21,ny
9362-49665-2,The Dead Weather,Sea Of Cowards,"Third Man Records, Warner Bros. Records","CD, Album",5,2010,2286337,NO RAP,2010-09-04 04:38:20,
THI 57164.2,Meat Beat Manifesto,Off-Centre,Thirsty Ear,"CD, EP",5,2005,557208,NO RAP,2009-08-20 00:00:00,
TSIP-2014,65daysofstatic,One Time For All Time,Thomason Sounds,"CD, Album, Enh",5,2006,693774,NO RAP,2015-12-30 04:24:36,
17W2L-2,The Perceptionists,The Razor,Thought Wizard Productions,CD,5,2004,332867,RAP,2012-10-26 12:40:21,
TW001-2,Mr. Lif,Sleepyheads » Unreleased and Hard To Find,Thought Wizard Productions,"CD, Comp",5,2003,268329,RAP,2013-10-02 23:43:47,
none,Mood,Live Again,Three Below Zero Records,"CD, Album, Ltd",4,2011,3105480,RAP,2016-09-08 01:16:22,
THR-1212-2,Ultra (4),Big Time,Threshold Recordings,"CD, Album, RE",5,2001,268349,RAP,2012-10-25 04:06:27,
THR-3006,Kool Keith,Sex Style 20th Anniversary Edition,Threshold Recordings,"CD, Album, RE + CD, Album, RE + Comp, Ltd",5,2017,9901592,RAP,2017-05-27 10:13:10,
THR-5103,Motion Man Feat. Kut Masta Kurt,Clearing The Field,Threshold Recordings,"CD, Album, Enh",,2002,980462,RAP,2015-11-16 06:51:29,
THR-6461,Clayborne Family,Clayborne Family,Threshold Recordings,CD,4,2004,520860,RAP,2009-08-20 00:00:00,
THR-7181,Slaughterhouse Cartel,Slaughterhouse Cartel,Threshold Recordings,"CD, Maxi",5,2000,2085233,RAP,2010-04-09 15:35:56,
"THR 9999, none",Kool Keith Featuring Kut Masta Kurt,Diesel Truckers,"Threshold Recordings, Funky Ass Records","CD, Album, Enh",,2004,2008132,RAP,2016-12-28 13:14:44,
TGR-3024,Meyhem & Buckwild,Silk Pyramids,Thrice Great Records,"CD, Album",5,2014,5811870,RAP,2014-11-25 04:58:27,
none,Meat Beat Manifesto,Live '05,Tino Corp.,"CD, Ltd",5,2006,626482,NO RAP,2010-11-21 13:38:32,
TINO-012-2,Tino,Tino's Breaks Volumes 1 & 2,Tino Corp.,"CD, Comp, Enh",4,2001,191103,NO RAP,2009-08-20 00:00:00,
"TNO2007-2, TNO2007",Meat Beat Manifesto,Storm The Studio R.M.X.S.,"Tino Corp., Tino Corp.","CD, Album",5,2003,183320,NO RAP,2013-06-14 04:56:51,
0630-11211-2,Naughty By Nature,Feel Me Flow,Tommy Boy,"CD, Maxi",5,1995,1088127,RAP,2010-04-10 03:03:22,
1699-81111-2,Naughty By Nature,Poverty's Paradise,Tommy Boy,"CD, Album",5,1995,2224975,RAP,2010-04-10 02:57:03,
9031-74359-2,De La Soul,De La Soul Is Dead,Tommy Boy,"CD, Album",5,1991,646627,RAP,2009-08-20 00:00:00,
BLRD 114,Naughty By Nature,Craziest,Tommy Boy,"CD, Maxi, Ltd",4,1995,1615424,RAP,2010-04-10 03:02:40,
SRCS 5881,Naughty By Nature,Remixes,Tommy Boy,"CD, Comp",5,1992,760295,RAP,2013-08-23 08:44:19,
SRCS-5977,House Of Pain,House Of Pain,Tommy Boy,"CD, Album",5,1992,4479192,RAP,2014-11-22 15:01:10,
TBCD 1068,Apache,Apache Ain't Shit,Tommy Boy,"CD, Album",5,1993,1055523,RAP,2009-08-20 00:00:00,
TBCD 1069,Naughty By Nature,19 Naughty III,Tommy Boy,"CD, Album",5,1993,241357,RAP,2010-04-10 05:25:04,
TBCD 1069,Naughty By Nature,19 Naughty III,Tommy Boy,"CD, Album",5,1993,5148853,RAP,2013-11-30 07:27:17,
TBCD 1149,De La Soul,Stakes Is High,Tommy Boy,"CD, Album, RP",5,0,11057229,RAP,2017-10-26 13:32:32,
TBCD 1156,Big Noyd,Episodes Of A Hustla,Tommy Boy,"CD, Album",5,1996,226764,RAP,2015-04-23 00:13:00,
TBCD 1274,Defari,Focused Daily,Tommy Boy,"CD, Album",4,1998,1633522,RAP,2012-03-01 03:35:37,
TBCD 1362,De La Soul,AOI: Bionix,Tommy Boy,"CD, Album",4,2001,106712,RAP,2009-08-20 00:00:00,
TBCD 2020,Screwball,H-O-S-T-Y-L-E,Tommy Boy,"CD, Maxi",5,1999,1848621,RAP,2012-08-09 15:55:14,
TBCD 2058,D.I.T.C.,Thick,Tommy Boy,"CD, Single",5,1999,1411430,RAP,2009-08-20 00:00:00,
TBCD 2120,De La Soul Featuring Redman,Oooh.,Tommy Boy,"CD, Maxi",5,2000,790029,RAP,2009-08-20 00:00:00,
TBCD 2154B,De La Soul Featuring ‎ Chaka Khan,All Good?,Tommy Boy,"CD, Single",5,2000,1175506,RAP,2009-08-20 00:00:00,
TBCD 333,Deadly Snakes,Wild West / Culebras De Muerte,Tommy Boy,"CD, Single",,1999,6286886,RAP,2016-04-27 14:55:08,nyc
TBCD 513,Digital Underground,No Nose Job,Tommy Boy,"CD, Single",5,1992,1441747,RAP,2013-04-27 07:28:12,
TBCD 519,Naughty By Nature,Guard Your Grill / Uptown Anthem,Tommy Boy,"CD, Single",5,1992,1322495,RAP,2010-04-10 05:28:38,
TBCD 7437,Dave Hollister Featuring Redman & Erick Sermon / Naughty By Nature,The Weekend / Mourn You Til I Join You,Tommy Boy,"CD, Single",5,1997,2330645,NO RAP,2012-11-04 12:45:46,
TBCD 752,De La Soul,Itzsoweezee (Hot),Tommy Boy,"CD, Maxi",4,1996,1175511,RAP,2009-08-20 00:00:00,
TBCD 7730,De La Soul,Stakes Is High,Tommy Boy,"CD, Single",5,1996,110088,RAP,2009-08-20 00:00:00,
TBCD 7779a,De La Soul,4 More,Tommy Boy,"CD, Maxi",5,1996,1175498,RAP,2009-08-20 00:00:00,
TBCD 8276,De La Soul,"A Roller Skating Jam Named ""Saturdays""",Tommy Boy,"CD, Maxi",5,1991,639401,RAP,2009-08-20 00:00:00,
TBCD 8320,De La Soul,Millie Pulled A Pistol On Santa / Keepin' The Faith,Tommy Boy,"CD, Maxi",5,1991,1034875,RAP,2009-08-20 00:00:00,
TBCD 988,Naughty By Nature,O.P.P.,Tommy Boy,"CD, Single",5,1991,778326,RAP,2010-04-10 05:28:08,
TBCD 999,Naughty By Nature,Everything's Gonna Be Alright,Tommy Boy,"CD, Maxi",5,1991,1869134,RAP,2009-08-20 00:00:00,
TBCD-1030,Paris (2),The Devil Made Me Do It,Tommy Boy,"CD, Album",,1990,1673928,RAP,2017-11-13 06:22:53,ny
TBCD1347,Tony Touch,The Piece Maker,Tommy Boy,"CD, Album, Enh",4,2000,481601,RAP,2016-04-19 04:34:41,
TBCD2149,Capone -N- Noreaga,Y'all Don't Wanna / Invincible,Tommy Boy,"CD, Single, Promo",5,2000,2302192,RAP,2010-11-24 07:47:24,
TBCD2339,De La Soul,Baby Phat,Tommy Boy,"CD, Single, Promo",5,2001,583987,RAP,2009-08-20 00:00:00,
TBCD7310A,Stetsasonic,Talkin All That Jazz,Tommy Boy,"CD, Single, CD1",5,1998,92363,RAP,2012-08-12 07:12:39,
TBXCD 617,Coolio,Fantastic Voyage,Tommy Boy,"CD, Maxi",5,1994,294303,RAP,2012-10-12 14:22:36,
TBXCD 623,House Of Pain,On Point,Tommy Boy,"CD, Maxi",5,1994,3098648,RAP,2012-07-30 05:58:09,
TBXCD 670,Naughty By Nature,Craziest,Tommy Boy,"CD, Maxi",5,1995,1087373,RAP,2010-04-10 03:00:25,
TBXCD 703,Naughty By Nature,Clap Yo Hands / The Chain Remains,Tommy Boy,"CD, EP",5,1995,2007461,RAP,2010-04-10 02:59:29,
TBCD 336,Defari,Likwit Connection / Keep It On The Rise,Tommy Boy Black Label,"CD, Maxi",5,1998,1428030,RAP,2012-11-27 06:14:28,
4509-93874-2,De La Soul,Breakadawn,"Tommy Boy, EastWest","CD, Maxi",5,1993,1175464,RAP,2009-08-20 00:00:00,
4509-95035-2,De La Soul,Ego Trippin' (Part Two),"Tommy Boy, EastWest","CD, Single",5,1993,1175477,RAP,2009-08-20 00:00:00,
"TBCD2099, 081P",Tony Touch,The Diaz Bros. / The Piece Maker,"Tommy Boy, Pinnacle (3)","CD, Single",5,2000,2302093,RAP,2012-08-12 07:49:03,
SMP 3058.2,Naughty By Nature,Naughty By Nature,"Tommy Boy, Sony Music Entertainment Hong Kong Ltd.","CD, Album",5,0,6829300,RAP,2015-03-27 17:17:03,
SRCS 7997,De La Soul,Stakes Is High,"Tommy Boy, Sony Records","CD, Album",5,1996,3370678,RAP,2013-11-21 06:20:35,
SRCS 8085,House Of Pain,Same As It Ever Was,"Tommy Boy, Sony Records","CD, Album, RE",5,1996,5120137,RAP,2013-11-21 06:29:03,
TBCD 1080,Digital Underground,"The ""Body-Hat"" Syndrome","Tommy Boy, TNT Recordings (2)","CD, Album",4,1993,875988,RAP,2015-11-11 11:50:29,
TBCD 993,Digital Underground,Kiss You Back,"Tommy Boy, TNT Recordings (2)","CD, Maxi",4,1991,139017,RAP,2010-03-29 12:41:09,
TBCD 944 PRO,Digital Underground,The Humpty Dance,"Tommy Boy, TNT Records (2)","CD, Single, Promo",4,1989,1941295,RAP,2010-03-29 12:42:23,
"9031-75917-2 XS, 9031-75917-2",Naughty By Nature,O.P.P.,"Tommy Boy, Tommy Boy","CD, Maxi",5,1991,321110,RAP,2010-04-10 05:27:17,
"TBCD 1304, TBCD 1304-2, TBCD 1410-2",D.I.T.C.,D.I.T.C.,"Tommy Boy, Tommy Boy, Tommy Boy","CD, Album",5,2000,247262,RAP,2014-10-29 14:28:08,
"TBCD 1044, 1699-81044-2",Naughty By Nature,Naughty By Nature,"Tommy Boy, Warner Strategic Marketing","CD, Album, RE",5,2003,2225243,RAP,2010-04-10 05:40:21,
FCD156 TI006,Robert Brylewski,Warsaw Beat 11/12 2004,Tone Industria,"CD, Album",5,2004,1359787,NO RAP,2013-11-18 05:13:43,
CD-T 014,Obywatel G.C.,Obywatel G.C.,Tonpress,"CD, Album, RE",5,1989,1409049,NO RAP,2009-08-20 00:00:00,
CD-T 015,Papa Dance,Nasz Ziemski Eden,Tonpress,"CD, Album",5,1991,2790589,NO RAP,2013-02-22 07:35:24,
CD-T 020,Lech Janerka,Historia Podwodna,Tonpress,"CD, Album, RE",5,1991,1409069,NO RAP,2009-08-20 00:00:00,
SX-T 123,Various,Gdynia,Tonpress,"LP, Comp",5,1988,1050074,NO RAP,2010-02-28 10:45:47,
SX-T 16,Brygada Kryzys,Brygada Kryzys,Tonpress,"LP, Album",5,1982,613509,NO RAP,2013-09-22 06:09:01,
SX-T 95,Tilt (4),Tilt,Tonpress,"LP, Album",5,1988,856611,NO RAP,2013-04-20 12:36:16,
Pure CD 48,Mouse On Mars,Iaora Tahiti,Too Pure,"CD, Album, RE",5,1998,1157642,NO RAP,2015-04-26 13:52:08,
TORSO CD 595,Bomb The Bass,Say A Little Prayer,Torso,"CD, Maxi",5,1988,1028518,NO RAP,2010-04-24 05:11:19,
CD 164,King Bee,Back By Dope Demand,Torso Dance,"CD, Maxi",5,1990,213543,RAP,2012-08-09 16:07:58,
CD 175,King Bee,Must Bee The Music,Torso Dance,"CD, Maxi",4,1990,213664,RAP,2012-09-07 08:39:15,
TORSO CD 184,King Bee,Cold Slammin',Torso Dance,"CD, Maxi",5,1991,972121,RAP,2009-08-20 00:00:00,
T33.13,Sweet Exorcist,Spirit Guide To Low Tech,Touch,"CD, Album",5,1994,45993,NO RAP,2009-10-17 03:20:43,
TO:23,Sandoz,Intensely Radioactive,Touch,"CD, Album",5,1994,47124,NO RAP,2009-10-17 03:13:51,
Tone  6,Various,Step Write Run - Alphaphone Vol. 1,Touch,"2xCD, Comp",4,1996,93219,NO RAP,2009-10-17 03:21:37,
Tone 10,Sandoz,Sandoz In Dub - Chant To Jah,Touch,"CD, Album",5,1998,146224,NO RAP,2009-08-20 00:00:00,
Tone 12,Richard H. Kirk,LoopStatic (Amine ß Ring Modulations),Touch,"CD, Album",4,2000,48021,NO RAP,2009-10-17 03:15:10,
TONE:4CD,Sandoz,Dark Continent,Touch,"CD, Album",4,1996,145312,NO RAP,2009-10-17 03:14:55,
"TG141CD, TG141",Shellac,At Action Park,"Touch And Go, Touch And Go","CD, Album",5,1994,372758,NO RAP,2013-04-13 04:30:05,
"TO:28, TO : 28",Sandoz,Every Man Got Dreaming,"Touch, Touch","CD, Album",5,1995,47140,NO RAP,2009-10-17 03:13:41,
TFCC - 88228,Muro Featuring Lord Finesse & AG,The Vinyl Athletes,Toy's Factory,"CD, Maxi",5,1999,1374509,RAP,2012-05-29 00:03:12,
TFCC-88233,Muro,Pan Rhythm: Flight No. 11154,Toy's Factory,"CD, Album",4,2000,106696,RAP,2009-08-20 00:00:00,
TFCC-88239,Muro,Lyrical Tyrants,Toy's Factory,"CD, EP",5,2001,110546,RAP,2012-05-29 00:04:30,
TFCK-87715,Muro,Follow The  Foot Steps Of Tommy Boy,Toy's Factory,"CD, Comp, Mixed",5,1999,1240324,RAP,2013-09-21 07:31:09,
TFCK-87915~16,The Herbaliser,Blow Your Headphones,Toy's Factory,"CD, Album + CD, Maxi",5,1997,1010311,Uncategorized,2013-09-25 23:37:54,
TFCK-87933,Coldcut,More Beats + Pieces,Toy's Factory,"CD, Maxi",5,1997,92357,NO RAP,2016-05-08 13:09:42,
TFCK-87971,The Herbaliser,Very Mercenary,Toy's Factory,"CD, Album",5,1999,1118576,Uncategorized,2016-08-02 04:46:01,
none,Moar,Pete Rock & Friends (Remixes & Rare Tracks),Trad Vibe,"CD, Ltd, Mixed, Unofficial",5,2005,2745594,RAP,2014-01-09 01:23:00,
TEG 2444-2,NYG'z,Welcome 2 G-Dom,Traffic Entertainment Group,"CD, Album",4,2007,1175764,RAP,2016-08-29 13:19:46,
TEG 77504-2,Masta Ace,Take A Look Around,Traffic Entertainment Group,"2xCD, Album, RE",,2007,1939292,RAP,2014-09-12 14:49:36,
TEG-4502,Scientifik,Criminal,Traffic Entertainment Group,"CD, Album, RE",5,2006,687068,RAP,2009-08-20 00:00:00,
TEG-4504,Scientifik,The Most Blunted,Traffic Entertainment Group,"CD, Album, RE",5,2006,1182908,RAP,2016-09-05 13:50:43,
TEG-75515-2,Pete Rock & C.L. Smooth,Mecca And The Soul Brother,Traffic Entertainment Group,"Box, Dlx + CD, Album, RM + CD, Comp, RM",5,2010,2455324,RAP,2012-10-14 07:39:21,
TEG-75521-2,Pete Rock & C.L. Smooth,The Main Ingredient,Traffic Entertainment Group,"Box + CD, Album, RM + CD, Comp, RM",5,2011,3361037,RAP,2012-10-14 07:40:00,
TEG-77515-2,MC Shan,Born To Be Wild,Traffic Entertainment Group,"CD, Album, RE, Dig",5,2010,2941915,RAP,2013-08-05 06:22:54,
TEG-78506-2,Whodini,Whodini,Traffic Entertainment Group,"CD, Album, Dlx, RE, Hea",5,2010,3207365,RAP,2015-04-22 05:51:07,
TEG-78507-2,Whodini,Escape,Traffic Entertainment Group,"CD, Album, Dlx, RE, RM, Hea",5,2011,3369312,RAP,2015-03-20 11:31:56,
TEG75530-CD,Pete Rock & C.L. Smooth,All Souled Out,Traffic Entertainment Group,"CD, EP, Dlx, RE, Dig",5,2014,5620546,RAP,2014-05-08 22:54:54,
"TEG-2454, none",Craig G & Marley Marl,Operation Take Hip Hop Back,"Traffic Entertainment Group, Good Hands Records","CD, Album",5,2008,1422702,RAP,2015-08-18 01:48:50,
TEG-4508,Siah & Yeshua dapoED,The Visualz Anthology,"Traffic Entertainment Group, Head Bop Music","CD, Comp",5,2008,1315011,RAP,2016-08-29 13:19:56,
"TEG-76535-2, none",Jungle Brothers,Straight Out The Jungle,"Traffic Entertainment Group, Warlock Records","2xCD, Album",5,2010,2656886,RAP,2015-08-16 07:49:17,
TRCP10,Underworld,Oblivion With Bells,Traffic Inc.,"CD, Album",5,2007,1146258,NO RAP,2009-08-20 00:00:00,
TRCP13,Underworld,Crocodile,Traffic Inc.,"CD, Single",4,2007,1103263,NO RAP,2009-08-20 00:00:00,
TRCP18,Underworld,"Boy, Boy, Boy",Traffic Inc.,"CD, Single, Enh",4,2007,1170780,NO RAP,2009-08-20 00:00:00,
TCCD 9.00534 O,400 Blows,Look,Trance Records,"CD, Album",5,1988,267553,NO RAP,2009-08-20 00:00:00,
500112,Herbie Hancock,Future 2 Future,Transparent Music,"CD, Album",5,2001,3036715,NO RAP,2017-10-31 08:25:58,
Tresor.009,3MB Featuring Juan Atkins,3MB Featuring Magic Juan Atkins,Tresor,CD,5,1992,12422,NO RAP,2015-06-04 08:36:46,
Tresor.181,Drexciya,Harnessed The Storm,Tresor,"CD, Album",5,2002,26453,NO RAP,2013-07-10 10:05:24,
none,Rob Swift,Airwave Invasion,Triple Threat Mix Tapes,"CD, Mixed",4,2001,1697738,RAP,2012-06-02 08:34:54,
TGR-9801,Big Bear (3),Doin Thangs,Tru Game Records,"CD, Album, Q P",5,1998,1491773,RAP,2016-04-13 02:17:11,
TRRCD-6927-2,A.D.O.R.,Shock Frequency,Tru Reign Records,"CD, Album",,1998,1565826,RAP,2017-11-13 06:21:08,ny
TRUCD029,The Quantic Soul Orchestra,Stampede,Tru Thoughts,"CD, Album",5,2003,134435,NO RAP,2013-05-29 09:38:32,
TRUCD196,Domu,One Offs Remixes And B-Sides,Tru Thoughts,"2xCD, Comp",5,2009,1499331,NO RAP,2016-01-18 13:15:59,
TRUCD209,Zero dB,"One Offs, Remixes And B Sides",Tru Thoughts,"2xCD, Comp",5,2010,2177870,NO RAP,2015-06-24 02:39:09,
TS018-CD,Lee Fields,Faithful Man,Truth & Soul,"CD, Album",5,2012,3495578,NO RAP,2016-06-19 09:03:35,
